part_used,part_name,,,,,,,,,,,,,,,,,,
RUNTKB154WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB155WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB187WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB188WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB192WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB226WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB270WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB281WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB282WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB283WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB284WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB314WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB315WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB356WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB357WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB423WJN1,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB423WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB436WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB437WJ/1L,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB437WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB470WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB473/M,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB473WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB481WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB594WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB620WJN1,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB620WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB686WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB698WJN1,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB718WJ/L,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB718WJN1,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB719WJ/L,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB719WJN1,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB720WJ/L,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB720WJN1,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB721WJ/L,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB721WJN1,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB756WJ/L,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB756WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB767WJN1,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB811WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB817WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB818WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB823WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB845WJ/L,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKC157WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKC165WJ/L,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKC165WJN2,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKC272WJ/L,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKC272WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKC312WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKC319WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
QCNW-R030WJPZ,LED_BAR_WIRE,,,,,,,,,,,,,,,,,,
DUNTKG884FM01,LED_DRIVER_UNIT,,,,,,,,,,,,,,,,,,
B3KUYAD11I,LED_DRIVER_UNIT,,,,,,,,,,,,,,,,,,
B3KUYAE10I,LED_DRIVER_UNIT,,,,,,,,,,,,,,,,,,
B3KUYAE11I,LED_DRIVER_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG753FM01,LED_DRIVER_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG798FMG1,LED_DRIVER_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG798FMG2,LED_DRIVER_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG884FM03,LED_DRIVER_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG899FM11,LED_DRIVER_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG949FM01,LED_DRIVER_UNIT,,,,,,,,,,,,,,,,,,
